SET
    dbms    | table_catalog | table_schema |   table_name   |        column_name        | ordinal_position |     data_type     | character_maximum_length | constraint_type | table_schema |  table_name   |   column_name    
 postgresql | almacen       | public       | hygiene        | hygiene_quantityperunit   |                3 | integer           |                          |                 |              |               | 
 postgresql | almacen       | public       | resource       | resource_date             |                7 | date              |                          |                 |              |               | 
 postgresql | almacen       | public       | medication     | medication_ingredients    |                3 | character varying |                       50 |                 |              |               | 
 postgresql | almacen       | public       | medicaldevices | medicaldevices_type       |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | cannedfood     | cannedfood_type           |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | dryfood        | dryfood_unitsize          |                6 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | cannedfood     | cannedfood_expdate        |                7 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | water          | water_unitsize            |                6 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | company        | company_description       |                3 | character varying |                       20 |                 |              |               | 
 postgresql | almacen       | public       | babyfood       | babyfood_is_perishable    |                4 | boolean           |                          |                 |              |               | 
 postgresql | almacen       | public       | dryfood        | dryfood_expdate           |                7 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | babyfood       | babyfood_ingrendients     |                5 | character varying |                       50 |                 |              |               | 
 postgresql | almacen       | public       | paymentmethod  | paymentmethod_type        |                2 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | orders         | order_amount              |                2 | double precision  |                          |                 |              |               | 
 postgresql | almacen       | public       | request        | request_date              |                3 | date              |                          |                 |              |               | 
 postgresql | almacen       | public       | batteries      | batteries_type            |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | clothing       | clothing_gender           |                5 | character varying |                        3 |                 |              |               | 
 postgresql | almacen       | public       | hygiene        | hygiene_brand             |                4 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | resource       | resource_quantity         |                5 | integer           |                          |                 |              |               | 
 postgresql | almacen       | public       | clothing       | clothing_material         |                6 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | water          | water_type                |                5 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | batteries      | batteries_quantityperunit |                4 | integer           |                          |                 |              |               | 
 postgresql | almacen       | public       | fuel           | fuel_type                 |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | clothing       | clothing_color            |                4 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | person         | person_dob                |                4 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | babyfood       | babyfood_unitsize         |                6 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | person         | person_phone_number       |                6 | character varying |                       15 |                 |              |               | 
 postgresql | almacen       | public       | consumer       | consumer_severety         |                3 | character varying |                       20 |                 |              |               | 
 postgresql | almacen       | public       | tools          | tools_type                |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | person         | person_lastname           |                3 | character varying |                       15 |                 |              |               | 
 postgresql | almacen       | public       | water          | water_size                |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | babyfood       | babyfood_type             |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | orders         | order_date                |                3 | date              |                          |                 |              |               | 
 postgresql | almacen       | public       | dryfood        | dryfood_is_perishable     |                4 | boolean           |                          |                 |              |               | 
 postgresql | almacen       | public       | resource       | resource_price            |                3 | double precision  |                          |                 |              |               | 
 postgresql | almacen       | public       | water          | water_brand               |                4 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | heavyequipment | heavyequipment_type       |                3 | character varying |                       10 |                 |              |               | 
 postgresql | almacen       | public       | dryfood        | dryfood_ingrendients      |                5 | character varying |                       50 |                 |              |               | 
(115 rows)

